text,label
I'm okay,0
I'm okay now,0
I'm okay at the moment,0
I'm okay right now,0
I'm okay after the fall,0
I am okay,0
I am okay now,0
I am okay at the moment,0
I am okay right now,0
I am okay after the fall,0
I'm fine,0
I'm fine now,0
I'm fine at the moment,0
I'm fine right now,0
I'm fine after the fall,0
Everything is fine,0
Everything is fine now,0
Everything is fine at the moment,0
Everything is fine right now,0
Everything is fine after the fall,0
Everything is okay,0
Everything is okay now,0
Everything is okay at the moment,0
Everything is okay right now,0
Everything is okay after the fall,0
No problem,0
No problem now,0
No problem at the moment,0
No problem right now,0
No problem after the fall,0
False alarm,0
False alarm now,0
False alarm at the moment,0
False alarm right now,0
False alarm after the fall,0
I can walk,0
I can walk now,0
I can walk at the moment,0
I can walk right now,0
I can walk after the fall,0
I can stand,0
I can stand now,0
I can stand at the moment,0
I can stand right now,0
I can stand after the fall,0
I am safe,0
I am safe now,0
I am safe at the moment,0
I am safe right now,0
I am safe after the fall,0
I am not injured,0
I am not injured now,0
I am not injured at the moment,0
I am not injured right now,0
I am not injured after the fall,0
I don't need help,0
I don't need help now,0
I don't need help at the moment,0
I don't need help right now,0
I don't need help after the fall,0
No emergency,0
No emergency now,0
No emergency at the moment,0
No emergency right now,0
No emergency after the fall,0
I feel good,0
I feel good now,0
I feel good at the moment,0
I feel good right now,0
I feel good after the fall,0
I feel alright,0
I feel alright now,0
I feel alright at the moment,0
I feel alright right now,0
I feel alright after the fall,0
I can continue walking,0
I can continue walking now,0
I can continue walking at the moment,0
I can continue walking right now,0
I can continue walking after the fall,0
Nothing happened,0
Nothing happened now,0
Nothing happened at the moment,0
Nothing happened right now,0
Nothing happened after the fall,0
I recovered,0
I recovered now,0
I recovered at the moment,0
I recovered right now,0
I recovered after the fall,0
I'm still standing,0
I'm still standing now,0
I'm still standing at the moment,0
I'm still standing right now,0
I'm still standing after the fall,0
ok,0
okay,0
im ok,0
im okay,0
I am good,0
all good,0
good,0
Saya okay,0
Saya okay now,0
Saya okay at the moment,0
Saya okay right now,0
Saya okay after the fall,0
Saya tidak apa apa,0
Saya tidak apa apa now,0
Saya tidak apa apa at the moment,0
Saya tidak apa apa right now,0
Saya tidak apa apa after the fall,0
Saya baik,0
Saya baik now,0
Saya baik at the moment,0
Saya baik right now,0
Saya baik after the fall,0
Saya selamat,0
Saya selamat now,0
Saya selamat at the moment,0
Saya selamat right now,0
Saya selamat after the fall,0
Tiada masalah,0
Tiada masalah now,0
Tiada masalah at the moment,0
Tiada masalah right now,0
Tiada masalah after the fall,0
Saya tidak cedera,0
Saya tidak cedera now,0
Saya tidak cedera at the moment,0
Saya tidak cedera right now,0
Saya tidak cedera after the fall,0
Saya boleh berjalan,0
Saya boleh berjalan now,0
Saya boleh berjalan at the moment,0
Saya boleh berjalan right now,0
Saya boleh berjalan after the fall,0
Saya boleh berdiri,0
Saya boleh berdiri now,0
Saya boleh berdiri at the moment,0
Saya boleh berdiri right now,0
Saya boleh berdiri after the fall,0
Saya tidak perlukan bantuan,0
Saya tidak perlukan bantuan now,0
Saya tidak perlukan bantuan at the moment,0
Saya tidak perlukan bantuan right now,0
Saya tidak perlukan bantuan after the fall,0
Semuanya baik,0
Semuanya baik now,0
Semuanya baik at the moment,0
Semuanya baik right now,0
Semuanya baik after the fall,0
Tiada kecemasan,0
Tiada kecemasan now,0
Tiada kecemasan at the moment,0
Tiada kecemasan right now,0
Tiada kecemasan after the fall,0
Saya sihat,0
Saya sihat now,0
Saya sihat at the moment,0
Saya sihat right now,0
Saya sihat after the fall,0
Saya rasa baik,0
Saya rasa baik now,0
Saya rasa baik at the moment,0
Saya rasa baik right now,0
Saya rasa baik after the fall,0
Saya ok,0
Saya okay,0
Saya baik,0
我还好,0
我很好,0
没事,0
我没事,0
我没事 now,0
我没事 at the moment,0
我没事 right now,0
我没事 after the fall,0
我很好,0
我很好 now,0
我很好 at the moment,0
我很好 right now,0
我很好 after the fall,0
没问题,0
没问题 now,0
没问题 at the moment,0
没问题 right now,0
没问题 after the fall,0
我很安全,0
我很安全 now,0
我很安全 at the moment,0
我很安全 right now,0
我很安全 after the fall,0
我没有受伤,0
我没有受伤 now,0
我没有受伤 at the moment,0
我没有受伤 right now,0
我没有受伤 after the fall,0
我可以走路,0
我可以走路 now,0
我可以走路 at the moment,0
我可以走路 right now,0
我可以走路 after the fall,0
我可以站起来,0
我可以站起来 now,0
我可以站起来 at the moment,0
我可以站起来 right now,0
我可以站起来 after the fall,0
我不需要帮助,0
我不需要帮助 now,0
我不需要帮助 at the moment,0
我不需要帮助 right now,0
我不需要帮助 after the fall,0
一切都很好,0
一切都很好 now,0
一切都很好 at the moment,0
一切都很好 right now,0
一切都很好 after the fall,0
没有紧急情况,0
没有紧急情况 now,0
没有紧急情况 at the moment,0
没有紧急情况 right now,0
没有紧急情况 after the fall,0
我感觉很好,0
我感觉很好 now,0
我感觉很好 at the moment,0
我感觉很好 right now,0
我感觉很好 after the fall,0
我恢复了,0
我恢复了 now,0
我恢复了 at the moment,0
我恢复了 right now,0
我恢复了 after the fall,0
我还能站着,0
我还能站着 now,0
我还能站着 at the moment,0
我还能站着 right now,0
我还能站着 after the fall,0
I think I'm okay,0
I think I'm okay now,0
I think I'm okay at the moment,0
I think I'm okay right now,0
I think I'm okay after the fall,0
I think I am okay,0
I think I am okay now,0
I think I am okay at the moment,0
I think I am okay right now,0
I think I am okay after the fall,0
I think I'm fine,0
I think I'm fine now,0
I think I'm fine at the moment,0
I think I'm fine right now,0
I think I'm fine after the fall,0
I think Everything is fine,0
I think Everything is fine now,0
I think Everything is fine at the moment,0
I think Everything is fine right now,0
I think Everything is fine after the fall,0
I think Everything is okay,0
I think Everything is okay now,0
I think Everything is okay at the moment,0
I think Everything is okay right now,0
I think Everything is okay after the fall,0
I think No problem,0
I think No problem now,0
I think No problem at the moment,0
I think No problem right now,0
I think No problem after the fall,0
I think False alarm,0
I think False alarm now,0
I think False alarm at the moment,0
I think False alarm right now,0
I think False alarm after the fall,0
I think I can walk,0
I think I can walk now,0
I think I can walk at the moment,0
I think I can walk right now,0
I think I can walk after the fall,0
I think I can stand,0
I think I can stand now,0
I think I can stand at the moment,0
I think I can stand right now,0
I think I can stand after the fall,0
I think I am safe,0
I think I am safe now,0
I think I am safe at the moment,0
I think I am safe right now,0
I think I am safe after the fall,0
I think I am not injured,0
I think I am not injured now,0
I think I am not injured at the moment,0
I think I am not injured right now,0
I think I am not injured after the fall,0
I think I don't need help,0
I think I don't need help now,0
I think I don't need help at the moment,0
I think I don't need help right now,0
I think I don't need help after the fall,0
I think No emergency,0
I think No emergency now,0
I think No emergency at the moment,0
I think No emergency right now,0
I think No emergency after the fall,0
I think I feel good,0
I think I feel good now,0
I think I feel good at the moment,0
I think I feel good right now,0
I think I feel good after the fall,0
I think I feel alright,0
I think I feel alright now,0
